street_address,city,state,zipCode,latitude,longitude,beds,rent_price/month,listed_date,property_link
"Maison De Ville - 3920 Berwyn Dr S, Mobile, AL",Mobile,AL,36608,30.677586,-88.142105,1/2,$837+/$982+,,https://www.zillow.com/b/maison-de-ville-mobile-al-BSQ9KF/
"Fox Run - 5633 Calmar Dr, Montgomery, AL",Montgomery,AL,36116,32.329945,-86.23,1/2/3,$570+/$650+/$770+,,https://www.zillow.com/b/fox-run-montgomery-al-5Xjq47/
"Cloverdale Estates - 3453 Audubon Rd, Montgomery, AL",Montgomery,AL,36111,32.342052,-86.290375,1/2/3,$725+/$795+/$895+,,https://www.zillow.com/b/cloverdale-estates-montgomery-al-9hQbmK/
"The Falls and Woods Of Hoover Apartments - 3801 Galleria Woods Dr, Birmingham, AL",Birmingham,AL,35244,33.366875,-86.81611,1/2/3,"$918+/$1,135+/$1,248+",,https://www.zillow.com/b/the-falls-and-woods-of-hoover-apartments-hoover-al-5bcktr/
"Apartment for rent - The Falls and Woods Of Hoover Apartments, 3801 Galleria Woods Dr #6038, Birmingham, AL 35244",Birmingham,AL,35244,,,2,$1146.0,4 hours ago,https://www.zillow.com/b/the-falls-and-woods-of-hoover-apartments-hoover-al-5bcktr/
"Halcyon Park Apartments - 7880 Taylor Park Rd, Montgomery, AL",Montgomery,AL,36117,32.340336,-86.18061,1,"$1,020+",Updated yesterday,https://www.zillow.com/b/halcyon-park-apartments-montgomery-al-5Xjq3q/
"Trilliam - 425 Trilliam Ln, Clanton, AL",Clanton,AL,35045,32.81628,-86.60268,2/3,"$920+/$1,105+",,https://www.zillow.com/b/trilliam-clanton-al-5XjW3H/
"Charleston Apartment Homes - 2889 Sollie Rd, Mobile, AL",Mobile,AL,36695,30.628271,-88.20551,1/2/3,"$1,312+/$1,283+/$1,516+",,https://www.zillow.com/b/charleston-apartment-homes-mobile-al-5Xkj9D/
"Timberchase Apartments - 925 Beacon Pkwy E, Birmingham, AL",Birmingham,AL,35209,33.47697,-86.81654,1/2,"$925+/$1,015+",,https://www.zillow.com/b/timberchase-apartments-birmingham-al-5Xk2Dg/
"Pathways - 2656 Pathway Pl, Mobile, AL",Mobile,AL,36606,30.678225,-88.102715,2/3,"$795+/$1,083+",,https://www.zillow.com/b/pathways-mobile-al-5XjpHr/
"10X Audubon Park - 8160 County Road 64, Daphne, AL",Daphne,AL,36526,30.60158,-87.88295,1/2/3,"$1,215+/$1,325+/$1,750+",,https://www.zillow.com/b/10x-audubon-park-daphne-al-5XrRrM/
"FarmHaus - 1260 Balch Rd, Madison, AL",Madison,AL,35757,34.75402,-86.767494,1/2/3,"$1,211+/$1,355+/$1,640+",,https://www.zillow.com/b/farmhaus-madison-al-BvYDhZ/
"Millbrook Pointe - 811 Deatsville Hwy, Millbrook, AL",Millbrook,AL,36054,32.525215,-86.37959,1/2/3,$575+/$675+/$745+,,https://www.zillow.com/b/millbrook-pointe-millbrook-al-5Xjq4B/
"Denham Lofts - 1143 1st Ave S, Birmingham, AL",Birmingham,AL,35233,33.506664,-86.81468,1,"$1,605+",,https://www.zillow.com/b/denham-lofts-birmingham-al-9nTtJP/
"Mirabelle Apartments - 6427 Airport Blvd, Mobile, AL",Mobile,AL,36608,30.677282,-88.19313,2/3,"$1,145+/$1,245+",,https://www.zillow.com/b/mirabelle-apartments-mobile-al-5Xt8Fb/
"The Grove Moundville - 12898 Grove Cir, Moundville, AL",Moundville,AL,35474,33.0522,-87.589745,4/5,"$2,150+/$2,245+",,https://www.zillow.com/b/the-grove-moundville-moundville-al-C7xt5x/
"Chapel Lakes Apartments - 100 Chapel Lakes Dr, Wetumpka, AL",Wetumpka,AL,36092,32.546215,-86.226616,1/2/3,"$1,100+/$1,170+/$1,275+",,https://www.zillow.com/b/chapel-lakes-apartments-wetumpka-al-5Xj9mz/
"Apartment for rent - Parkside at Cottage Hill, 3220 Cottage Hill Rd #6204, Mobile, AL 36606",Mobile,AL,36606,30.665684,-88.12234,2,$1617.0,3 days ago,https://www.zillow.com/b/parkside-at-cottage-hill-mobile-al-5cYrz5/
"Summer Place Apartments - 557 Azalea Rd, Mobile, AL",Mobile,AL,36609,30.658857,-88.146484,1/2/3,$715+/$820+/$900+,,https://www.zillow.com/b/summer-place-apartments-mobile-al-5Xt8Bc/
"Wood Gardens - 2139 Rocky Ridge Ranch Rd, Birmingham, AL",Birmingham,AL,35216,33.383366,-86.78959,1/2/3,"$964+/$1,164+/$1,369+",,https://www.zillow.com/b/wood-gardens-birmingham-al-5Xm2Wg/
"Eagle Ridge - Eagle Ridge Dr, Birmingham, AL",Birmingham,AL,35242,33.41095,-86.66801,1/2,"$998+/$1,518+",,https://www.zillow.com/b/eagle-ridge-birmingham-al-BSrmJR/
"Apartment for rent - Eagle Ridge, Eagle Ridge Dr #9916, Birmingham, AL 35242",Birmingham,AL,35242,33.42634,-86.68705,2,$1436.0,6 hours ago,https://www.zillow.com/b/eagle-ridge-birmingham-al-C4WP6K/
"Apartment for rent - Stone Park Villas, 43 Shell Stone Ct, Pike Road, AL 36064",Pike Road,AL,36064,32.364674,-86.055,4,$2250.0,54 days ago,https://www.zillow.com/b/stone-park-villas-pike-road-al-B73XdX/
"Elevate 758 - 758 Saint Michael St, Mobile, AL",Mobile,AL,36602,30.689917,-88.05313,0,$912+,,https://www.zillow.com/b/elevate-758-mobile-al-5Xk2qT/
"The Kelvin - 6170 Kitt Ln, Huntsville, AL",Huntsville,AL,35806,34.73896,-86.67405,1/2/3,"$1,266+/$1,598+/$1,916+",,https://www.zillow.com/b/the-kelvin-huntsville-al-C9XZJ4/
"Magnolia Row - 600 Camelot Dr, Athens, AL",Athens,AL,35611,34.817974,-86.952065,1/2,$825+/$940+,,https://www.zillow.com/b/magnolia-row-athens-al-5YpjdF/
"Wood Springs - 200 Springs Ave, Birmingham, AL",Birmingham,AL,35242,33.429886,-86.71495,1/2/3,"$909+/$1,159+/$1,374+",,https://www.zillow.com/b/wood-springs-birmingham-al-5XjT3d/
"Spanish Fort Town Center - 30000 Town Center Ave, Daphne, AL",Daphne,AL,36527,30.662619,-87.903564,1/2,"$1,244+/$1,300+",,https://www.zillow.com/b/spanish-fort-town-center-spanish-fort-al-5XkrpS/
"The Outlook at Greystone - 7278 Cahaba Valley Rd, Birmingham, AL",Birmingham,AL,35242,33.431416,-86.66581,0/1/2/3,"$1,197+/$1,264+/$1,450+/$1,515+",,https://www.zillow.com/b/the-outlook-at-greystone-birmingham-al-5XkJxq/
"Midtown Row - 2727 Boultier St, Montgomery, AL",Montgomery,AL,36106,32.35322,-86.290146,0/1/2,"$1,106+/$1,438+/$1,647+",,https://www.zillow.com/b/midtown-row-montgomery-al-65fFS7/
"The Collins - 1100 Enterprise Way NW, Huntsville, AL",Huntsville,AL,35805,34.739212,-86.67806,0/1/2/3,"$1,246+/$1,321+/$1,636+/$2,374+",3D Tour,https://www.zillow.com/b/the-collins-huntsville-al-BhWZG8/
"Malibu at Martin Apartments - 8003 Benaroya Ln SW, Huntsville, AL",Huntsville,AL,35802,34.66691,-86.57489,1/2,"$726+/$1,009+",,https://www.zillow.com/b/malibu-at-martin-apartments-huntsville-al-5Xt8qz/
