street_address,city,state,zipCode,latitude,longitude,beds,sale_price,listed_date,property_link
4959 Lurline St,New Orleans,LA,70127,30.025955,-89.97107,3.0,$185000.0,Open: Sat. 1-3pm,https://www.zillow.com/homedetails/4959-Lurline-St-New-Orleans-LA-70127/149037227_zpid/
828 Treasure Ln,Lake Charles,LA,70605,30.191301,-93.23274,4.0,$322000.0,278 days on Zillow,https://www.zillow.com/homedetails/828-Treasure-Ln-Lake-Charles-LA-70605/2063205719_zpid/
26039 Coronation Dr,Denham Springs,LA,70726,30.446175,-90.89756,4.0,$268900.0,Open: Sun. 1-3pm,https://www.zillow.com/homedetails/26039-Coronation-Dr-Denham-Springs-LA-70726/110880518_zpid/
4 Clematis Cor,Lafayette,LA,70507,30.280142,-92.0162,3.0,$144000.0,13 days on Zillow,https://www.zillow.com/homedetails/4-Clematis-Cor-Lafayette-LA-70507/77647428_zpid/
10822 N Old Settlement Rd,Zachary,LA,70791,30.60614,-91.067535,3.0,$175000.0,"$19,900 (Feb 9)",https://www.zillow.com/homedetails/10822-N-Old-Settlement-Rd-Zachary-LA-70791/66320236_zpid/
825 Louisiana Ave APT 10,New Orleans,LA,70115,29.920507,-90.08739,2.0,$249000.0,16 days on Zillow,https://www.zillow.com/homedetails/825-Louisiana-Ave-APT-10-New-Orleans-LA-70115/149067637_zpid/
223 Mills St,Scott,LA,70583,30.23742,-92.091354,2.0,$147500.0,"$5,000 (Feb 16)",https://www.zillow.com/homedetails/223-Mills-St-Scott-LA-70583/2060194060_zpid/
2131 Baronne St,New Orleans,LA,70113,29.936703,-90.08238,4.0,$599000.0,265 days on Zillow,https://www.zillow.com/homedetails/2131-Baronne-St-New-Orleans-LA-70113/305047555_zpid/
10594 Highland Lakes Dr,Denham Springs,LA,70726,,,3.0,$314500.0,"$4,000 (Jan 23)",https://www.zillow.com/homedetails/10594-Highland-Lakes-Dr-Denham-Springs-LA-70726/2077235895_zpid/
107 Saint Thomas Way,Covington,LA,70433,30.497988,-90.09945,3.0,$245000.0,6 days on Zillow,https://www.zillow.com/homedetails/107-Saint-Thomas-Way-Covington-LA-70433/96204436_zpid/
