street_address,city,state,zipCode,latitude,longitude,beds,sale_price,listed_date,property_link
102 Sweetwater Ln,Fairhope,AL,36532,30.573286,-87.888725,5,$585000.0,14 days on Zillow,https://www.zillow.com/homedetails/102-Sweetwater-Ln-Fairhope-AL-36532/72740393_zpid/
111 Joiner Rd,Hayden,AL,35079,33.840694,-86.912155,3,$175000.0,19 hours ago,https://www.zillow.com/homedetails/111-Joiner-Rd-Hayden-AL-35079/297106359_zpid/
1413 Carol Cir,Midfield,AL,35228,33.44867,-86.94566,3,$75000.0,13 hours ago,https://www.zillow.com/homedetails/1413-Carol-Cir-Midfield-AL-35228/1033096_zpid/
708 Corlett Dr SE,Huntsville,AL,35802,34.678154,-86.56079,4,$510000.0,18 hours ago,https://www.zillow.com/homedetails/708-Corlett-Dr-SE-Huntsville-AL-35802/92162612_zpid/
1931 Hickory Ave,Florence,AL,35630,34.828045,-87.67675,2,$30000.0,10 days on Zillow,https://www.zillow.com/homedetails/1931-Hickory-Ave-Florence-AL-35630/67125014_zpid/
5480 Shady Dr,Millbrook,AL,36054,32.508453,-86.37629,4,$449900.0,20 hours ago,https://www.zillow.com/homedetails/5480-Shady-Dr-Millbrook-AL-36054/121166_zpid/
1640 Dunster Pl,Mobile,AL,36613,30.794504,-88.11901,3,$239950.0,20 hours ago,https://www.zillow.com/homedetails/1640-Dunster-Pl-Mobile-AL-36613/89834817_zpid/
1204 Castleman Ave SW,Decatur,AL,35601,34.58841,-87.019424,3,$300000.0,20 hours ago,https://www.zillow.com/homedetails/1204-Castleman-Ave-SW-Decatur-AL-35601/109550246_zpid/
263 D Thomas Rd,Ozark,AL,36360,31.545824,-85.564514,3,$37000.0,9 days on Zillow,https://www.zillow.com/homedetails/263-D-Thomas-Rd-Ozark-AL-36360/110287150_zpid/
12740 Mill Creek Dr,Northport,AL,35473,33.287323,-87.637726,4,$334900.0,15 hours ago,https://www.zillow.com/homedetails/12740-Mill-Creek-Dr-Northport-AL-35473/109543269_zpid/
31517 Shadwell Dr,Spanish Fort,AL,36527,30.72489,-87.9148,4,$424900.0,13 hours ago,https://www.zillow.com/homedetails/31517-Shadwell-Dr-Spanish-Fort-AL-36527/337781956_zpid/
112 Wyatt Miles Ln,Toney,AL,35773,34.89506,-86.75003,4,$318900.0,21 hours ago,https://www.zillow.com/homedetails/112-Wyatt-Miles-Ln-Toney-AL-35773/2066481599_zpid/
426 30th Pl,Tuscaloosa,AL,35401,33.183094,-87.54167,4,$48000.0,$900 (Feb 15),https://www.zillow.com/homedetails/426-30th-Pl-Tuscaloosa-AL-35401/50860915_zpid/
119 E Campbell Ave,Geneva,AL,36340,31.038008,-85.8726,4,$85000.0,"$14,900 (Jan 26)",https://www.zillow.com/homedetails/119-E-Campbell-Ave-Geneva-AL-36340/109439734_zpid/
1729 Haisten Dr,Dothan,AL,36301,31.220457,-85.42396,3,$225000.0,19 hours ago,https://www.zillow.com/homedetails/1729-Haisten-Dr-Dothan-AL-36301/76015092_zpid/
32167 Terranova Loop,Lillian,AL,36549,30.41259,-87.47862,4,$296900.0,17 hours ago,https://www.zillow.com/homedetails/32167-Terranova-Loop-Lillian-AL-36549/2060714888_zpid/
24300 Ransom Spring Dr,Athens,AL,35613,34.777637,-86.88797,3,$429000.0,Open: Sat. 1-4pm,https://www.zillow.com/homedetails/24300-Ransom-Spring-Dr-Athens-AL-35613/2059104650_zpid/
"1,250 Square Feet Plan, Ingersoll Drive-Starter Houses",Phenix City,AL,36867,32.47055,-85.02248,3,$179900.0,13 hours ago,https://www.zillow.com/community/ingersoll-drive-starter-houses/2059096730_zpid/
5213 Logan Dr,Birmingham,AL,35242,33.389862,-86.6976,4,$439000.0,"$11,000 (Feb 16)",https://www.zillow.com/homedetails/5213-Logan-Dr-Birmingham-AL-35242/186247_zpid/
5118 Cater Dr,Montgomery,AL,36108,32.305878,-86.340355,3,$69900.0,14 hours ago,https://www.zillow.com/homedetails/5118-Cater-Dr-Montgomery-AL-36108/72825506_zpid/
4774 Sandpiper Ln,Hoover,AL,35244,33.38672,-86.764145,4,$309000.0,90 days on Zillow,https://www.zillow.com/homedetails/4774-Sandpiper-Ln-Hoover-AL-35244/187738_zpid/
3113 Shoreway Cir SE,Owens Cross Roads,AL,35763,34.662926,-86.46065,4,$500000.0,20 hours ago,https://www.zillow.com/homedetails/3113-Shoreway-Cir-SE-Owens-Cross-Roads-AL-35763/92174914_zpid/
26579 Barksdale Rd,Athens,AL,35613,34.81939,-86.84856,4,$399000.0,33 days on Zillow,https://www.zillow.com/homedetails/26579-Barksdale-Rd-Athens-AL-35613/128471207_zpid/
1122 Ridge Dr,Killen,AL,35645,34.849453,-87.44896,3,$149900.0,103 days on Zillow,https://www.zillow.com/homedetails/1122-Ridge-Dr-Killen-AL-35645/67117608_zpid/
9755 Potomac Ridge Dr,Mobile,AL,36695,30.615553,-88.271225,4,$299330.0,30 days on Zillow,https://www.zillow.com/homedetails/9755-Potomac-Ridge-Dr-Mobile-AL-36695/51049927_zpid/
218 W Wilding Dr,Montgomery,AL,36116,32.308903,-86.262375,4,$147900.0,9 days on Zillow,https://www.zillow.com/homedetails/218-W-Wilding-Dr-Montgomery-AL-36116/72804701_zpid/
2250 Highland Ave S APT 74,Birmingham,AL,35205,33.50254,-86.78979,1,$328000.0,1 day on Zillow,https://www.zillow.com/homedetails/2250-Highland-Ave-S-APT-74-Birmingham-AL-35205/2059104950_zpid/
305 Wickerberry Way,Athens,AL,35611,34.792076,-86.96657,3,$337000.0,16 hours ago,https://www.zillow.com/homedetails/305-Wickerberry-Way-Athens-AL-35611/249167530_zpid/
2065 Narrows Point Cv,Birmingham,AL,35242,33.36366,-86.67035,3,$309900.0,17 hours ago,https://www.zillow.com/homedetails/2065-Narrows-Point-Cv-Birmingham-AL-35242/317031552_zpid/
